rep,fold,seed,arm,n_test,auc,ap,acc,f1,rely_img,rely_tab,auc_img_shuf,auc_tab_shuf,best_epoch,epochs_run
0,0,0,concat,46,0.7697368421052633,0.9203143548193162,0.782608695652174,0.8611111111111112,0.0032894736842106,0.2171052631578949,0.7664473684210527,0.5526315789473684,1,16
0,0,1,concat,46,0.763157894736842,0.924450446133852,0.7608695652173914,0.8493150684931506,0.0032894736842105,0.2302631578947367,0.7598684210526315,0.5328947368421053,1,16
0,0,2,concat,46,0.7664473684210527,0.891712072106695,0.8695652173913043,0.9210526315789472,0.0131578947368421,0.2039473684210526,0.7532894736842105,0.5625,1,16
0,0,0,concat_wide,46,0.7664473684210527,0.8930219835101839,0.7608695652173914,0.8533333333333334,0.006578947368421,0.2302631578947368,0.7598684210526316,0.5361842105263158,1,16
0,0,1,concat_wide,46,0.756578947368421,0.8904925794241255,0.7608695652173914,0.8450704225352113,-0.006578947368421,0.1973684210526315,0.763157894736842,0.5592105263157895,1,16
0,0,2,concat_wide,46,0.756578947368421,0.916694103066382,0.8043478260869565,0.8831168831168831,-0.0098684210526316,0.2236842105263157,0.7664473684210527,0.5328947368421053,1,16
0,0,0,cross,46,0.7598684210526316,0.9347169941390704,0.782608695652174,0.868421052631579,-0.0032894736842105,0.1644736842105263,0.7631578947368421,0.5953947368421053,5,20
0,0,1,cross,46,0.6052631578947368,0.8882865870219209,0.8260869565217391,0.9,0.0197368421052631,-0.0559210526315788,0.5855263157894737,0.6611842105263157,20,35
0,0,2,cross,46,0.694078947368421,0.912975552442994,0.8043478260869565,0.88,0.0263157894736841,0.1052631578947367,0.6677631578947368,0.5888157894736843,25,40
0,0,0,cross_a2b,46,0.7828947368421053,0.9238600695620948,0.8695652173913043,0.925,0.0098684210526316,0.1282894736842106,0.7730263157894737,0.6546052631578947,6,21
0,0,1,cross_a2b,46,0.631578947368421,0.8811077382286018,0.8478260869565217,0.9113924050632912,0.0328947368421053,0.0164473684210526,0.5986842105263157,0.6151315789473684,8,23
0,0,2,cross_a2b,46,0.7236842105263158,0.8802263311094299,0.8478260869565217,0.9113924050632912,-0.0361842105263158,0.3519736842105263,0.7598684210526316,0.3717105263157895,1,16
0,0,0,img,46,0.743421052631579,0.9301288460768882,0.8043478260869565,0.8860759493670886,,,,,2,17
0,0,1,img,46,0.5986842105263158,0.8694101641706027,0.8478260869565217,0.9156626506024096,,,,,3,18
0,0,2,img,46,0.6513157894736842,0.897878825920778,0.8043478260869565,0.8888888888888888,,,,,1,16
0,0,0,tab,46,0.6677631578947368,0.8864306668243374,0.8260869565217391,0.9,,,,,26,41
0,0,1,tab,46,0.75,0.9317929232268642,0.8260869565217391,0.8974358974358975,,,,,4,19
0,0,2,tab,46,0.7483552631578947,0.899025578121937,0.8478260869565217,0.9113924050632912,,,,,4,19
0,1,0,concat,46,0.8168168168168168,0.9410818432909552,0.7391304347826086,0.8235294117647058,0.03003003003003,0.0660660660660661,0.7867867867867868,0.7507507507507507,12,27
0,1,1,concat,46,0.7927927927927928,0.9176354597694768,0.782608695652174,0.8611111111111112,0.039039039039039,0.045045045045045,0.7537537537537538,0.7477477477477478,25,40
0,1,2,concat,46,0.7927927927927928,0.9209651440522072,0.782608695652174,0.8648648648648649,0.0045045045045044,0.147147147147147,0.7882882882882883,0.6456456456456457,22,37
0,1,0,concat_wide,46,0.7957957957957957,0.9169654740439606,0.8260869565217391,0.8918918918918919,0.0120120120120119,0.117117117117117,0.7837837837837838,0.6786786786786787,6,21
0,1,1,concat_wide,46,0.7972972972972974,0.924570590701132,0.7608695652173914,0.8450704225352113,0.0285285285285284,0.0765765765765765,0.7687687687687689,0.7207207207207208,9,24
0,1,2,concat_wide,46,0.8183183183183184,0.924179289292928,0.8043478260869565,0.8767123287671232,0.0180180180180179,0.1516516516516516,0.8003003003003004,0.6666666666666667,7,22
0,1,0,cross,46,0.8378378378378379,0.9511836499043343,0.782608695652174,0.8529411764705882,0.024024024024024,0.2222222222222223,0.8138138138138139,0.6156156156156156,9,24
0,1,1,cross,46,0.8078078078078079,0.9419348932666562,0.8478260869565217,0.9041095890410958,0.0210210210210211,0.1321321321321322,0.7867867867867868,0.6756756756756757,8,23
0,1,2,cross,46,0.8138138138138138,0.9504461290412014,0.7608695652173914,0.8450704225352113,0.0060060060060059,0.2222222222222221,0.8078078078078078,0.5915915915915917,7,22
0,1,0,cross_a2b,46,0.7987987987987988,0.9361759608405515,0.7391304347826086,0.8378378378378378,0.0180180180180179,0.1141141141141141,0.7807807807807808,0.6846846846846847,24,39
0,1,1,cross_a2b,46,0.7717717717717718,0.9381476791448858,0.782608695652174,0.8648648648648649,-0.018018018018018,0.2162162162162162,0.7897897897897899,0.5555555555555556,23,38
0,1,2,cross_a2b,46,0.7927927927927928,0.9216074959334808,0.7391304347826086,0.8285714285714286,0.0150150150150148,0.1471471471471471,0.7777777777777779,0.6456456456456456,11,26
0,1,0,img,46,0.6906906906906908,0.908367189544026,0.6739130434782609,0.782608695652174,,,,,1,16
0,1,1,img,46,0.6696696696696698,0.8990372511123286,0.6086956521739131,0.7352941176470589,,,,,1,16
0,1,2,img,46,0.6756756756756758,0.90829600602996,0.6521739130434783,0.7777777777777778,,,,,3,18
0,1,0,tab,46,0.8138138138138139,0.9485747519769524,0.7608695652173914,0.8450704225352113,,,,,5,20
0,1,1,tab,46,0.8318318318318318,0.9545223005820032,0.7608695652173914,0.8450704225352113,,,,,7,22
0,1,2,tab,46,0.7942942942942943,0.9190785128044558,0.8043478260869565,0.8767123287671232,,,,,9,24
